Index,Country,Extra Info,1961,1962,1963,1964,1965
1,Algeria,Algerian population,nan,nan,10573,nan,nan
2,Angola,Non-African population,13,24,18,nan,nan
3,Bechuanaland,Non-African population,nan,nan,nan,nan,nan
4,Cameroon,East Cameroon,nan,nan,nan,nan,nan
5,Cameroon,West Cameroon,nan,nan,nan,826,481
6,Cape Verde Islands,nan,2543,2452,3189,2315,nan
7,Chad,African population,nan,nan,nan,931,nan
8,Congo (Brazzaville),African population,nan,nan,nan,nan,nan
9,Dahomey,African population,1154266,nan,nan,nan,nan
10,Equatorial Guinea,Fernando Poo,1840,2017,1806,1556,1696
11,Equatorial Guinea,Rio Muni,822,1006,860,830,nan
12,French Somaliland,Djibouti (Cercle),417,361,484,nan,nan
13,Gabon,African population,141,nan,nan,nan,nan
14,Gambia,Bathurst,385,6408,644,382,nan
15,Ghana,Registration area,16597,14261,11401,nan,nan
16,Ivory Coast,nan,nan,nan,nan,nan,nan
17,Kenya,African population,nan,nan,nan,nan,nan
18,Kenya,Non-African population,1500,1683,1668,1276,nan
19,Libya,nan,70857,85000,6149,6136,nan
20,Madagascar,nan,nan,nan,58,nan,nan
21,Madagascar,Asiatic population,56,34,37,nan,35
22,Madagascar,European population,nan,23,nan,30,nan
23,Mali,nan,nan,nan,nan,nan,nan
24,Mauritania,nan,nan,nan,nan,nan,nan
25,Mauritius,nan,6505,nan,nan,nan,6337
26,Mauritius,Rodrigues,192,160,203,237,300
27,Morocco,nan,nan,220000,nan,nan,nan
28,Mozambique,nan,1037,1216,4067,6445,nan
29,Nigeria,Lagos (Federal Capital),5067,4281,5540,nan,nan
30,Portuguese Guinea,nan,nan,4121,2088,nan,nan
31,Reunion,nan,4001,4121,4058,3789,3784
32,St Helena,nan,39,55,53,39,42
33,Sao Tome and Principe,nan,1269,1091,1065,nan,nan
34,Senegal,nan,nan,nan,nan,nan,nan
35,Senegal,Dakar,5319,4893,5420,6072,6882
36,Seychelles,nan,574,504,513,485,563
37,Sierra Leone,Western Area,4066,3637,3973,nan,nan
38,South Africa,Asiatic population,3593,3788,3875,3861,nan
39,South Africa,Coloured population,23932,24077,25279,25169,nan
40,South Africa,White population,27008,27896,29616,29966,30856
41,South West Africa,Coloured population,306,316,369,405,nan
42,South West Africa,White population,454,431,537,570,nan
43,Southern Rhodesia,African population,nan,nan,nan,nan,nan
44,Southern Rhodesia,Asiatic population,39,48,64,71,41
45,Southern Rhodesia,European population,1349,1385,1449,1306,1369
46,Spanish North Africa,nan,537,502,562,491,516
47,Spanish North Africa,Ceuta,589,574,469,522,565
48,Spanish North Africa,Melilla,nan,nan,nan,nan,nan
49,Spanish Sahara,nan,92,249,195,179,145
50,Swaziland,European population,32,nan,nan,nan,nan
51,Togo,nan,44710,nan,nan,nan,nan
52,Tunisia,nan,45437,49200,45515,43656,nan
53,Uganda,Non-African population,269,264,254,248,nan
54,United Arab Republic,nan,420158,486699,431673,nan,438000
55,United Republic of Tanzania,Zanzibar,1491,1498,nan,nan,nan
56,Upper Volta,nan,nan,nan,nan,nan,nan
57,Zambia,African population,nan,nan,nan,nan,nan
58,Zambia,Asiatic population,32,39,24,36,nan
59,Zambia,European population,332,308,321,308,nan
60,Antigua,nan,503,405,574,501,nan
61,Bahama Islands,nan,1024,821,1030,972,1098
62,Barbados,nan,2410,2116,2090,2127,1905
63,Bermuda,nan,310,334,333,363,358
64,British Honduras,nan,708,853,712,729,nan
65,Canada,nan,140985,143699,147367,145850,147000
66,Cayman Islands,nan,68,51,61,nan,nan
67,Costa Rica,nan,9726,10861,11376,12269,nan
68,Cuba,nan,45945,51580,49610,47600,nan
69,Dominica,nan,799,658,826,605,nan
70,Dominican Republic,nan,26018,22359,nan,nan,nan
71,El Salvador,nan,28471,30342,29614,29447,30831
72,Greenland,nan,293,361,nan,nan,nan
73,Grenada,nan,1022,840,830,nan,nan
74,Guadeloupe,nan,2367,2348,2400,2321,2400
75,Guatemala,nan,63287,69287,71449,68098,74684
76,Haiti,nan,nan,nan,nan,nan,nan
77,Honduras,nan,18045,18650,19510,20546,nan
78,Jamaica,nan,14193,14167,15159,13476,14084
79,Martinique,nan,2289,2546,2514,2500,2500
80,Mexico,nan,388857,403046,412834,408275,390200
81,Montserrat,nan,136,128,116,107,120
82,Netherlands Antilles,nan,969,935,1008,977,nan
83,Nicaragua,nan,12185,11799,11593,11918,11855
84,Panama,nan,8529,7947,9004,8538,8889
85,Panama,Canal Zone,122,126,130,155,nan
86,Puerto Rico,nan,16364,16548,17350,18566,17480
87,St. Pierre and Miquelon,nan,nan,nan,nan,nan,nan
88,St. Christopher-Nevis-Anguilla,nan,711,587,569,559,nan
89,St. Lucia,nan,1228,1186,1069,nan,832
90,Saint-Pierre-et-Miquelon,nan,53,67,58,44,nan
91,St. Vincent,nan,1024,957,1006,821,nan
92,Trinidad and Tobago,nan,6999,6465,6660,5809,nan
93,Turks and Caicos Islands,nan,65,69,74,nan,nan
94,United States,nan,1701522,756720,813549,798051,1825000
95,Virgin Islands [UK],nan,79,70,67,75,nan
96,Virgin Islands [US],nan,326,321,383,343,nan
97,Argentina,nan,176392,183215,180776,183032,nan
98,Bolivia,nan,29700,32047,21544,21422,17271
99,Brazil,nan,nan,nan,nan,nan,nan
100,Brazil,State Capitals,nan,148066,116863,nan,nan,nan
101,British Guiana,nan,5069,4649,4840,5069,4900
102,British Guiana,Amerindian population,206,212,nan,nan,nan
103,Chile,nan,91348,94874,98293,94058,nan
104,Colombia,nan,175612,177208,176898,175349,nan
105,Ecuador,nan,58166,60082,61129,58989,nan
106,Falkland Islands,nan,26,24,24,13,18
107,French Guiana,nan,487,410,446,400,400
108,Paraguay,nan,nan,nan,nan,nan,nan
109,Peru,nan,110613,108636,170088,100353,nan
110,Surinam,nan,2310,2321,nan,nan,nan
111,Uruguay,nan,22750,22833,nan,nan,nan
112,Venezuela,nan,55585,54960,58474,60992,nan
113,Aden,nan,1721,1827,2060,2074,nan
114,Brunei,nan,606,628,666,621,nan
115,Burma,Towns,43536,21856,36409,49822,50645
116,Ceylon,nan,81653,88928,91066,95401,96202
117,China (Taiwan),nan,73823,72921,71734,69261,67887
118,Cyprus,nan,3254,3400,3600,3900,3650
119,Hong Kong,nan,18738,20324,19748,18113,17621
120,India,Registration Area,nan,nan,nan,nan,nan
121,Indonesia,Registration Area,544240,353118,nan,nan,nan
122,Iran,nan,nan,nan,nan,nan,nan
123,Iraq,nan,28993,28732,26609,nan,nan
124,Israel,nan,12716,13739,14425,15491,16017
125,Japan,nan,695644,710265,670770,672860,700237
126,Jordan,nan,12348,12133,11697,11380,nan
127,Kuwait,nan,nan,2180,2139,2618,nan
128,Lebanon,nan,9850,8494,9775,9417,10273
129,Macau,nan,1757,1730,1802,1606,nan
130,Malaysia,Malaya,65997,69311,68126,62907,nan
131,Malaysia,Sabah,3111,3294,2838,2792,2970
132,Malaysia,Sarawak,3986,3975,4424,4198,nan
133,Mongolia,nan,nan,nan,nan,nan,nan
134,Nepal,nan,nan,nan,nan,nan,nan
135,Pakistan,nan,nan,nan,nan,nan,nan
136,Philippines,nan,213587,213439,214412,222097,189055
137,Portuguese Timor,nan,nan,nan,7238,6365,nan
138,Ryukyu Islands,nan,4815,4898,4951,4926,nan
139,Singapore,nan,10116,10250,10214,10510,10257
140,Syria,nan,24401,22879,22818,22733,nan
141,Thailand,nan,210709,221157,233192,229678,nan
142,Turkey,Provincial Capitals and district centres,95745,93632,96838,97771,nan
143,Viet-Nam Republic of,nan,76901,70059,66720,61744,nan
144,Albania,nan,15445,18363,17646,15811,16731
145,Austria,nan,85673,90854,91579,89081,94177
146,Belgium,nan,106985,112758,116718,113094,114507
147,Bulgaria,nan,62562,69640,66057,64479,nan
148,Channel Islands,nan,1421,1308,1422,1312,nan
149,Czechoslovakia,nan,126376,138716,133107,134399,140891
150,Denmark,nan,43310,45334,45773,46811,47857
151,Faeroe Islands,nan,206,234,242,nan,nan
152,Finland,nan,40616,42889,42010,42512,44543
153,France,nan,500289,541147,557852,520033,544835
154,Germany,Eastern Germany,205053,215988,204527,nan,nan
155,Germany,Federal Republic of Germany,591850,607483,634300,606522,635795
156,Germany,East Berlin,17686,18007,17474,nan,nan
157,Germany,West Berlin,35711,37336,38769,37606,39605
158,Gibraltar,nan,241,212,182,222,243
159,Greece,nan,63955,66554,66813,69429,66945
160,Hungary,nan,96410,108273,99871,100830,108119
161,Iceland,nan,1248,1236,1327,1308,nan
162,Ireland,nan,34763,33838,33795,32630,32778
163,Isle of Man,nan,859,795,848,768,nan
164,Italy,nan,468455,509174,516377,488655,516221
165,Liechtenstein,nan,131,166,146,nan,nan
166,Luxembourg,nan,3616,4037,3929,3857,3893
167,Malta,nan,2937,2840,2981,2756,3003
168,Monaco,nan,320,nan,383,nan,nan
169,Netherlands,nan,88321,93969,95734,93437,98042
170,Norway,nan,33313,34318,36850,34928,33740
171,Poland,nan,227759,239199,230072,235879,232400
172,Portugal,nan,99590,96864,98011,96878,95187
173,Romania,nan,161936,172429,155767,152476,163432
174,San Marino,nan,123,126,116,149,nan
175,Spain,nan,262339,277522,281416,272582,273480
176,Sweden,nan,73555,76791,76460,76661,78200
177,Switzerland,nan,51004,55125,56989,53609,55323
178,United Kingdom,nan,631788,636051,654288,611130,627700
179,United Kingdom,England and Wales,551752,557636,572868,534737,549300
180,United Kingdom,Northern Ireland,16108,15226,15899,15354,15500
181,United Kingdom,Scotland,63928,63189,65521,61039,62900
182,Yugoslavia,nan,167447,186843,169744,180646,170080
183,American Samoa,nan,106,131,136,111,nan
184,Australia,nan,88961,93163,94894,100594,99715
185,Christmas Island [Aust.],nan,11,16,9,7,6
186,Cocos (Keeling) Islands,nan,10,5,3,4,nan
187,Cook Islands,nan,161,nan,nan,204,nan
188,Fiji Islands,nan,2622,2653,2510,2720,2383
189,Gilbert and Ellice Islands,nan,386,403,384,nan,nan
190,Guam,nan,265,315,344,363,nan
191,Nauru,nan,28,nan,28,11,nan
192,New Caledonia,nan,677,663,704,731,nan
193,New Guinea [Aust.],Non-indigenous population,40,48,62,56,nan
194,New Zealand,nan,21782,22081,22416,22861,22976
195,Niue,nan,42,28,32,44,nan
196,Norfolk Island,nan,11,14,13,6,15
197,Pacific Islands,nan,412,386,425,529,nan
198,Papua,Non-indigenous population,39,24,32,28,nan
199,Pitcairn,nan,1,1,2,nan,nan
200,Tonga,nan,267,286,292,285,nan
201,Western Samoa,nan,386,571,477,659,nan
202,USSR,nan,1563000,1667000,nan,nan,nan
203,USSR,Byelorussian SSR,nan,nan,nan,nan,nan,nan
204,USSR,Ukrainian SSR,nan,nan,nan,nan,nan,nan
